type,name,time_units,begin_time,frequency,count,units
signal_4d,"Noraxon MyoMotion-Segments-Forearm RT-Orientation","s",0.0000,200,5068,""

time,x,y,z,w
0.0000,0.1118936894,-0.6211928424,-0.7597594401,0.1560924341
0.0050,0.1119211703,-0.6212003393,-0.7597494373,0.156091584
0.0100,0.1119486511,-0.6212078357,-0.7597394337,0.1560907337
0.0150,0.1119761317,-0.6212153316,-0.7597294295,0.1560898833
0.0200,0.1120159181,-0.6212219814,-0.7597182785,0.1560891453
0.0250,0.1120698769,-0.6212274764,-0.7597059537,0.1560885295
0.0300,0.1121399308,-0.6212315115,-0.7596924198,0.1560880275
0.0350,0.1122280291,-0.6212337869,-0.7596776345,0.1560876138
0.0400,0.112336109,-0.6212340106,-0.7596615525,0.1560872459
0.0450,0.1124660523,-0.6212319082,-0.7596441234,0.1560868641
0.0500,0.1126196471,-0.6212272361,-0.7596252853,0.1560863933
0.0550,0.1127985516,-0.6212197904,-0.7596049615,0.1560857497
0.0600,0.1130042561,-0.6212094141,-0.7595830578,0.1560848492
0.0650,0.1132380369,-0.6211960064,-0.7595594601,0.156083616
0.0700,0.1135009022,-0.6211795244,-0.7595340395,0.1560819863
0.0750,0.1137935405,-0.6211599793,-0.7595066643,0.1560799061
0.0800,0.1141162735,-0.6211374305,-0.7594772122,0.1560773293
0.0850,0.1144690131,-0.6211119821,-0.75944558,0.1560742185
0.0900,0.1148512267,-0.6210837784,-0.7594116934,0.1560705476
0.0950,0.1152619135,-0.6210529971,-0.7593755163,0.1560663043
0.1000,0.1156995878,-0.6210198399,-0.7593370621,0.1560614943
0.1050,0.1161622756,-0.6209845183,-0.7592964076,0.1560561409
0.1100,0.1166475284,-0.6209472394,-0.7592537046,0.156050287
0.1150,0.1171524493,-0.6209082005,-0.7592091802,0.1560440034
0.1200,0.117673731,-0.6208675925,-0.7591631284,0.1560374
0.1250,0.1182077037,-0.6208256063,-0.7591158978,0.1560306351
0.1300,0.1187503906,-0.6207824373,-0.7590678805,0.1560239185
0.1350,0.1192975693,-0.6207382908,-0.7590194996,0.1560175101
0.1400,0.1198448421,-0.6206933913,-0.7589711931,0.1560117168
0.1450,0.1203877195,-0.6206479885,-0.7589233955,0.1560068941
0.1500,0.1209217208,-0.6206023575,-0.7588765199,0.1560034575
0.1550,0.1216263668,-0.6205390979,-0.7588106488,0.1560277353
0.1600,0.1223029079,-0.6204778037,-0.7587465355,0.1560544414
0.1650,0.1229482116,-0.6204160634,-0.7586866962,0.1560837676
0.1700,0.1235569921,-0.6203554667,-0.7586306943,0.1561160922
0.1750,0.1241272713,-0.6202970068,-0.7585782863,0.1561506563
0.1800,0.1246545837,-0.6202402668,-0.7585304512,0.1561883505
0.1850,0.1251377451,-0.6201864542,-0.7584864683,0.1562292676
0.1900,0.1255724518,-0.6201348994,-0.7584473768,0.1562748942
0.1950,0.1259585885,-0.6200846632,-0.7584141133,0.1563249093
0.2000,0.1262946774,-0.6200384413,-0.7583848868,0.1563788646
0.2050,0.1265802092,-0.6199957318,-0.7583600291,0.1564378775
0.2100,0.1268147101,-0.6199558183,-0.7583407095,0.1564997792
0.2150,0.1269985063,-0.6199199735,-0.7583255593,0.1565661268
0.2200,0.1271321792,-0.6198882049,-0.7583144714,0.1566371121
0.2250,0.1272156869,-0.6198615147,-0.7583073749,0.1567092746
0.2300,0.127249894,-0.6198391832,-0.7583045146,0.1567836549
0.2350,0.1272348637,-0.6198213588,-0.7583060964,0.1568586522
0.2400,0.127169732,-0.6198084168,-0.7583121428,0.1569333611
0.2450,0.1270563503,-0.6198005899,-0.7583223321,0.1570068573
